T28,R,P1,potable water,/ˈpoʊtəbəl ˈwɔːtər/ - noun,Water that is safe to drink,آب قابل شرب,Most of the world's potable water is accounted for by groundwater.
T28,R,P1,is accounted for by,/ɪz əˈkaʊntɪd fɔr baɪ/ - phrase,Is represented or made up by,توسط تشکیل شده است,Most of the world's potable water is accounted for by groundwater.
T28,R,P1,overlying,/ˈoʊvərˌlaɪɪŋ/ - adj,Situated above,بالایی,The pressure of the overlying rock causes pores and cracks to close.
T28,R,P1,aquifer,/ˈækwɪfər/ - noun,An underground layer of water-bearing permeable rock or material,آب‌زیرزمینی,Aquifers are vital for groundwater storage and extraction.
T28,R,P1,porosity,/pɔˈrɑsəti/ - noun,The percentage of volume in a material that is pore space,تخلخل,Porosity determines how much water a rock can hold.
T28,R,P1,permeability,/ˌpɜrməˈbɪləti/ - noun,The ability of a material to allow fluids to pass through interconnected spaces,نفوذپذیری,The permeability of an aquifer affects water extraction rates.
T28,R,P1,intergranular,/ˌɪntərˈɡrænjʊlər/ - adj,Occurring between grains,بین دانه‌ای,"In intergranular spaces, fluid flows around and between grains."
T28,R,P1,tortuous,/ˈtɔrʧuəs/ - adj,Full of twists and turns,پیچیده و مارپیچ,The tortuous path in rocks increases resistance to fluid flow.
T28,R,P1,winding path,/ˈwaɪndɪŋ pæθ/ - noun,A path with many bends,مسیر پیچیده,Water takes a winding path through the permeable rocks.
T28,R,P1,sediment sorting and compaction,/ˈsɛdɪmənt ˈsɔrtɪŋ ænd kəmˈpækʃən/ - phrase,The process that affects the arrangement and density of sediment,مرتب‌سازی و فشرده‌سازی رسوبات,Sediment sorting and compaction directly impact porosity and permeability.
T28,R,P1,finer-grained,/ˈfaɪnər ˈɡreɪnd/ - adj,Having smaller particles,با دانه‌های ریزتر,Finer-grained mudstones are generally impermeable.
T28,R,P1,mudstone,/ˈmʌdˌstoʊn/ - noun,A fine-grained sedimentary rock,مارن (سنگ رسی),Mudstones are not good aquifers due to their low permeability.
T28,R,P1,impermeable,/ɪmˈpɜrmɪəbəl/ - adj,Not allowing fluid to pass through,نفوذناپذیر,Impermeable layers are referred to as aquicludes.
T28,R,P1,referred to as,/rɪˈfɜrd tu æz/ - phrase,Known or spoken of as,به عنوان شناخته شده است,Impermeable rocks are referred to as aquicludes.
T28,R,P1,aquiclude,/ˈækwɪˌkluːd/ - noun,A layer of rock or sediment that is impermeable to water,لایه‌ای که آب را عبور نمی‌دهد,Aquicludes prevent water movement through them.
T28,R,P1,igneous and metamorphic rocks,/ˈɪɡniəs ænd mɛtəˈmɔrfɪk rɑks/ - noun,Rocks formed from cooled magma or altered by heat and pressure,سنگ‌های آذرین و دگرگونی,Even igneous and metamorphic rocks can store groundwater if they are fractured.
T28,R,P1,marsh,/mɑrʃ/ - noun,A wetland typically covered with grass,مرداب,Marshes often appear where the water table is at or near the surface.
T28,R,P1,contours of the topography,/ˈkɑntʊrz ʌv ðə təˈpɑgrəfi/ - noun,The outlines that show the shape of the land surface,خطوط توپوگرافی,The water table usually follows the contours of the topography.
T28,R,P1,vadose zone,/ˈveɪdoʊs zoʊn/ - noun,The area in the ground above the water table,منطقه وادوز,Water in the vadose zone drains down to the water table.
T28,R,P1,percolates,/ˈpɜrkəˌleɪts/ - verb,Filters gradually through a porous surface or substance,نفوذ کردن,Rainwater percolates through the soil into the vadose zone.
T28,R,P1,drains down,/dreɪnz daʊn/ - phrase,Moves downward within a system,به پایین روان شدن,Water from the vadose zone drains down to the water table.
T28,R,P1,intersects,/ˌɪntərˈsɛkts/ - verb,Cuts across or through,قطع کردن، برخورد کردن,The water table intersects the land surface at springs.
T28,R,P1,drainage,/ˈdreɪnɪdʒ/ - noun,The system of water flow in an area,زهکشی,Groundwater contributes to the drainage system in many regions.
