T37,R,P1,laid the groundwork,/leɪd ðə ˈɡraʊndˌwɜrk/ - verb phrase,Prepared the foundation or basis for something,زمینه‌سازی کرده بودند,"While many other observers and thinkers had laid the groundwork for science, Thales made the first steps toward a new approach."
T37,R,P1,objective,/əbˈdʒɛktɪv/ - adjective,Not influenced by personal feelings or opinions; considering only facts,عینی,"Thales made the first steps toward a new, more objective approach to finding out about the world."
T37,R,P1,posed,/poʊzd/ - verb,Presented or put forward (a question or problem),مطرح کرد,He posed a very basic question: “What is the world made of?”
T37,R,P1,attained,/əˈteɪnd/ - verb,Achieved or reached,دست یافته بودند,"His two best-known followers, though there were undoubtedly others who attained less renown, were Anaximander and Anaximenes."
T37,R,P1,renown,/rɪˈnaʊn/ - noun,The condition of being known or talked about by many people; fame,شهرت,"His two best-known followers, though there were undoubtedly others who attained less renown, were Anaximander and Anaximenes."
T37,R,P1,coast,/koʊst/ - noun,The part of the land near the sea; the edge of the land,ساحل,Both were also from Miletus (located on the southern coast of present-day Turkey).
T37,R,P1,ambitiously,/æmˈbɪʃəsli/ - adverb,"With a strong desire to achieve something or to be successful, typically requiring determination and hard work",جاه‌طلبانه,Anaximander ambitiously attempted to write a comprehensive history of the universe.
T37,R,P1,conceive,/kənˈsiv/ - verb,Form or devise (a plan or idea) in the mind,تصور کرد,Anaximander was one of the first to conceive of the idea that all life originated in the sea.
T37,R,P1,conjecture,/kənˈdʒɛktʃər/ - verb,Form an opinion or supposition about something on the basis of incomplete information,حدس زدن,He believed that Earth’s surface was curved and conjectured that its shape was cylindrical.
T37,R,P1,heavens,/ˈhɛvənz/ - noun,"The sky, especially when regarded as a tangible thing",آسمان‌ها,Anaximander observed the motions of the heavens around the polestar.
T37,R,P1,polestar,/ˈpoʊlˌstɑr/ - noun,"A star that is positioned close to the axis of a planet, particularly the North Star",ستاره‌ی قطبی,Anaximander observed the motions of the heavens around the polestar.
T37,R,P1,elaborated upon,/ɪˈlæbəˌreɪtɪd əˈpɒn/ - verb phrase,"Developed or presented (a theory, policy, or system) in further detail",بسط داده شد,"Anaximander pictured the sky as a sphere surrounding Earth—an idea that, elaborated upon later, would prevail until the seventeenth century."
